NodeID,Code,Latitude,Longitude,Height,LinkID1,LinkID2,LinkID3,LinkID4,LinkID5,LinkID6
00001B000000000309AA4D259D101A02,2,35.11.24.294,136.56.48.0523,2,00001B000000000309AA4DA59D0F9A02,00001B000000000309AA4D259D101A01,,,,
00001B000000000309AA4EA59D0F9A02,2,35.11.24.5337,136.56.47.9924,2,00001B000000000309AA4EA59D0F9A01,00001B000000000309AA4EA59D0FFFC2,,,,
00001B000000000309AA4A259D1699C2,2,35.11.23.6114,136.56.49.3033,1.5,00001B000000000309AA4A259D1699C1,00001B000000000309AA49A59D1619C1,,,,
00001B000000000309AA4AA59D16FFC2,2,35.11.23.7438,136.56.49.3447,0,00001B000000000309AA4A259D1699C1,00001B000000000309AA4AA59D16FFC1,,,,
00001B000000000309AA49A59D1619C2,2,35.11.23.5478,136.56.49.2834,1.5,00001B000000000309AA49A59D1619C1,00001B000000000309AA49259D1619C1,,,,
00001B000000000309AA49259D1619C2,2,35.11.23.4162,136.56.49.2422,1.5,00001B000000000309AA49259D1619C1,00001B000000000309AA48A59D1619C1,,,,
00001B000000000309AA4E259D101A02,2,35.11.24.4373,136.56.48.0897,2,00001B000000000309AA4D259D101A01,00001B000000000309AA4E259D101A01,,,,
00001B000000000309AA4E259D0F9A02,2,35.11.24.4659,136.56.47.955,2,00001B000000000309AA4E259D0F9A01,00001B000000000309AA4E259D101A01,,,,
00001B000000000309AA4FA59D1B9A02,2,35.11.24.7936,136.56.50.3397,2,00001B000000000309AA4FA59D1B9A01,,,,,
00001B000000000309AA1A259D099A02,2,35.11.14.0812,136.56.46.722,2,00001B000000000309AA20A59D0B9A01,00001B000000000309AA1A259D099A01,,,,
00001B000000000309AA16A59D089A02,2,35.11.13.3746,136.56.46.5167,2,00001B000000000309AA16A59D089A01,00001B000000000309AA1A259D099A01,,,,
00001B000000000309AA04A59D0B1A01,2,35.11.9.7965,136.56.47.0954,2,00001B000000000309AA02259D061A01,,,,,
00001B000000000309AA12A59D149A01,2,35.11.12.5145,136.56.48.9567,2,00001B000000000309AA16A59D089A01,,,,,
00001B000000000309AA4B259D16FFC5,2,35.11.23.8846,136.56.49.3847,0,00001B000000000309AA4AA59D16FFC1,00001B000000000309AA4B259D16FFC1,00001B000000000309AA4B259D16FFC2,00001B000000000309AA4B259D16FFC3,00001B000000000309AA4B259D16FFC4,
00001B000000000309AA4B259D17FFC2,2,35.11.23.8496,136.56.49.5548,0,00001B000000000309AA4AA59D17FFC1,00001B000000000309AA4B259D16FFC2,00001B000000000309AA4B259D17FFC1,,,
00001B000000000309AA4C259D187FC1,2,35.11.24.0041,136.56.49.6177,0,00001B000000000309AA4DA59D1998C1,00001B000000000309AA4B259D16FFC1,,,,
