ExitID,NodeID,FacilityID,Name,出入口の有効幅員,扉の種類,段差
00001B000000000309A8D6259A599981,00001B000000000309A8D6259A59FFC1,,サカエチカ４出入口,3,0,2
00001B000000000309A8D8259A679981,00001B000000000309A8D8259A6798C2,00001B000000000309A8E2A59A619A82,栄駅１１出入口,3,0,1
00001B000000000309A8CEA59A7F9981,00001B000000000309A8CEA59A7FFFC1,00001B000000000309A8CBA59A809C01,中区役所出入口,2,1,0
00001B000000000309A8D1259A719981,00001B000000000309A8D1259A71FFC1,00001B000000000309A8E2A59A619A82,栄駅１２出入口,3,0,3
00001B000000000309A8CB259A6E9981,00001B000000000309A8CB259A6EFFC1,00001B000000000309A8E2A59A619A82,栄駅１３出入口,3,0,3
00001B000000000309A8CDA59A691981,00001B000000000309A8CDA59A697FC1,00001B000000000309A8E2A59A619A82,栄駅１４出入口,3,0,2
00001B000000000309A8CD259A601981,00001B000000000309A8CD259A607FC2,00001B000000000309A8E2A59A619A82,栄駅１５出入口,3,0,0
00001B000000000309A8CA259A5A9981,00001B000000000309A8CA259A5AFFC1,,サカエチカ１６出入口,3,0,3
00001B000000000309A8D3259A539981,00001B000000000309A8D3259A53FFC1,,サカエチカ３出入口,2,0,3
00001B000000000309A8CA259A499981,00001B000000000309A8CA259A49FFC1,00001B000000000309A8C5A59A519E81,名古屋三越栄本店出入口,0,6,0
00001B000000000309A8CE259A4C1981,00001B000000000309A8CE259A4C7FC2,,サカエチカ６出入口,3,0,2
00001B000000000309A8D2A59A4B9981,00001B000000000309A8D2A59A4BFFC2,,サカエチカ２出入口,3,0,1
00001B000000000309A8DDA59A459981,00001B000000000309A8DDA59A45FFC2,00001B000000000309A8E2A59A619A82,栄駅７出入口,3,0,3
00001B000000000309A8D8259A461981,00001B000000000309A8D8259A467FC2,,サカエチカ１出入口,3,0,3
00001B000000000309A8DB259A3E1981,00001B000000000309A8DB259A3E7FC3,00001B000000000309A8E2A59A619A82,栄駅８出入口,3,0,3
00001B000000000309A8D6259A469981,00001B000000000309A8D6259A46FFC1,,サカエチカ２出入口,3,0,2
00001B000000000309A8D5A59A409981,00001B000000000309A8D5A59A40FFC2,,サカエチカ１０出入口,3,0,3
00001B000000000309A8D1A59A3C9981,00001B000000000309A8D1A59A3CFFC1,,サカエチカ１０出入口,3,0,3
00001B000000000309A8CD259A3D1981,00001B000000000309A8CD259A3D7FC1,,サカエチカ７出入口,3,0,2
00001B000000000309A8CA259A479981,00001B000000000309A8CA259A47FFC2,,サカエチカ６出入口,3,0,3
00001B000000000309A8C9A59A421981,00001B000000000309A8C9A59A427FC1,,サカエチカ７出入口,3,0,3
00001B000000000309A8B8259A4B1981,00001B000000000309A8B8259A4B7FC1,00001B000000000309A8B5A59A531D81,ラシック出入口,2,1,0
00001B000000000309A8A0A59A5C9981,00001B000000000309A8A0A59A5CFFC1,00001B000000000309A892259A552081,松坂屋名古屋店北館出入口,3,4,3
00001B000000000309A8A0259A5C9981,00001B000000000309A8A0259A5CFFC1,00001B000000000309A892259A552081,松坂屋名古屋店北館出入口,2,4,0
